Grant,"Organization Name","Focus Area",Amount,Date
"Color Of Change — Prosecutor Accountability","Color of Change","Criminal Justice Reform","$678,772","September 2016"
"Color Of Change Education Fund — Prosecutor Accountability","Color Of Change Education Fund","Criminal Justice Reform","$321,228","August 2016"
"Voters Organized to Educate — General Support (2016)","Voters Organized to Educate","Criminal Justice Reform","$222,500","August 2016"
"Voice of the Experienced — General Support","Voice of the Experienced","Criminal Justice Reform","$325,500","August 2016"
"Voters Organized to Educate — General Support (2017)","Voters Organized to Educate","Criminal Justice Reform","$305,000","December 2017"
"Compassion in World Farming — Fish Welfare","Compassion in World Farming","Farm Animal Welfare","$1,026,253","January 2017"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project","Grassroots Leadership, Inc.","Criminal Justice Reform","$275,000","December 2016"
"Yes on Prop. 57 — General Support","Yes on Prop. 57","Criminal Justice Reform","$200,000","October 2016"
"Million Voters Project Action Fund — Support for Proposition 57","Million Voters Project Action Fund","Criminal Justice Reform","$400,000","October 2016"
"Just Liberty — General Support","Just Liberty","Criminal Justice Reform","$530,000","October 2016"
"PICO Action Fund — General Support","PICO Action Fund","Criminal Justice Reform","$50,000","December 2016"
"PICO National Network — General Support","PICO National Network","Criminal Justice Reform","$50,000","December 2016"
"GiveWell — General Support (2017)",GiveWell,"Global Health & Development","$530,764","October 2017"
"Centre for Pesticide Suicide Prevention — General Support","Centre for Pesticide Suicide Prevention","Global Health & Development","$1,336,409","August 2017"
"protocols.io — Platform Improvements",protocols.io,"Scientific Research","$200,000","December 2017"
"The Good Food Institute — General Support (2017)","The Good Food Institute","Alternatives to Animal Products","$1,500,000","November 2017"
"fair-fish international association —  Fish Welfare Standards for Aquaculture","fair-fish international association","Farm Animal Welfare","$453,841","December 2017"
"L214 — Broiler Welfare Campaigns in France (2017)",L214,"Broiler Chicken Welfare","$1,347,742","December 2017"
"theguardian.org — Journalism on Factory Farming and Farm Animal Cruelty",theguardian.org,"Farm Animal Welfare","$886,600","December 2017"
"Arizona State University — Canine Cancer Vaccine Clinical Trial (Stephen Johnston)","Arizona State University","Transformative Basic Science","$6,421,402","November 2017"
"InterAcademy Partnership — Side Event at the BWC Meeting of State Parties","InterAcademy Partnership","Biosecurity & Pandemic Preparedness","$14,605","November 2017"
"Youth First Initiative — General Support (2017)","Youth First Initiative","Criminal Justice Reform","$250,000","November 2017"
"Nuclear Threat Initiative — Biosecurity Program Support","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$6,000,000","October 2017"
"Aquaculture Stewardship Council  — Fish Welfare Standard Development","Aquaculture Stewardship Council","Farm Animal Welfare","$533,036","November 2017"
"Animal Equality — EU Farm Animal Welfare","Animal Equality","Farm Animal Welfare","$2,110,460","November 2017"
"Court Watch NOLA — General Support (October 2017)","Court Watch NOLA","Criminal Justice Reform","$100,000","October 2017"
"Florida Rights Restoration Coalition — Power Building (2017)","Florida Rights Restoration Coalition","Criminal Justice Reform","$558,000","September 2017"
"Eurogroup for Animals — EU Chicken Welfare Advocacy (2017)","Eurogroup for Animals","Broiler Chicken Welfare","$625,400","September 2017"
"Global Aquaculture Alliance  — Fish Welfare Best Practices","Global Aquaculture Alliance","Farm Animal Welfare","$435,000","September 2017"
"Otwarte Klatki — Chicken Welfare Campaigns and Merger Support","Otwarte Klatki","Broiler Chicken Welfare","$472,864","November 2017"
"Sightline Institute — Housing and Urban Development (2017)","Sightline Institute","Land Use Reform","$350,000","October 2017"
"Anima — Chicken Welfare Campaigns and Merger Support",Anima,"Broiler Chicken Welfare","$683,000","October 2017"
"Compassion in World Farming — End the Cage Age Campaign","Compassion in World Farming","Cage-Free Reforms","$1,000,000","October 2017"
"Initiate Justice — Prisoner Education on Prop 57","Initiate Justice","Criminal Justice Reform","$5,000","October 2017"
"Essie Justice Group — General Support (2017)","Essie Justice Group","Criminal Justice Reform","$300,000","October 2017"
"World Animal Net — Co-Organizing Workshops with the World Bank","World Animal Net","Farm Animal Welfare","$50,000","October 2017"
"Royal Society for the Prevention of Cruelty to Animals — Chicken Welfare Campaign in the UK","Royal Society for the Prevention of Cruelty to Animals","Broiler Chicken Welfare","$374,631","October 2017"
"Center for Effective Global Action at UC Berkeley — Deworming Study Planning Gift","Center for Effective Global Action at UC Berkeley","Global Health & Development","$18,000","June 2017"
"Center for Effective Global Action at UC Berkeley — Scoping RCTs for Follow-Up","Center for Effective Global Action at UC Berkeley","Global Health & Development","$492,188","July 2017"
"Charity Science Health — SMS Reminders for Immunization","Charity Science Health","Global Health & Development","$357,543","July 2017"
"IDinsight — Embedded GiveWell Team (2017)",IDinsight,"Global Health & Development","$2,321,617","May 2017"
"New York Working Families — Criminal Justice Reform in New York","New York Working Families","Criminal Justice Reform","$40,000","September 2017"
"Working Families Party — Prosecutor Reforms in New York (2017)","Working Families Party, Inc.","Criminal Justice Reform","$109,600","October 2017"
"UC Berkeley — Aging Research (Irina Conboy) (2017)","UC Berkeley","Transformative Basic Science","$5,000,000","August 2017"
"Humane Slaughter Association — Fish, Crustacean, and Cephalopod Welfare","Humane Slaughter Association","Farm Animal Welfare","$2,528,678","June 2017"
"Albert Schweitzer Foundation — General Support","Albert Schweitzer Foundation","Broiler Chicken Welfare","$1,000,000","September 2017"
"Brooklyn Community Bail Fund — National Bail Fund Network","Brooklyn Community Bail Fund","Criminal Justice Reform","$404,800","October 2017"
"UC Berkeley — AI Safety Research","UC Berkeley",Longtermism,"$1,450,016","October 2017"
"Machine Intelligence Research Institute — General Support (2017)","Machine Intelligence Research Institute",Longtermism,"$3,750,000","October 2017"
"Solar Radiation Management Governance Initiative — General Support (2017)","Solar Radiation Management Governance Initiative",Longtermism,"$2,000,000","September 2017"
"Global Animal Partnership  — Fish Welfare Standards","Global Animal Partnership","Farm Animal Welfare","$285,000","September 2017"
"The Humane League — Open Wing Alliance (2017)","The Humane League","Broiler Chicken Welfare","$2,000,000","September 2017"
"Corrections Accountability Project — General Support (2017)","Corrections Accountability Project","Criminal Justice Reform","$100,000","September 2017"
"Gamechanger Labs — Student Organizing Initiative","Gamechanger Labs","Criminal Justice Reform","$100,000","September 2017"
"Texas After Violence Project — Video Documentation Project","Texas After Violence Project","Criminal Justice Reform","$52,000","September 2017"
"Center for a New American Security — Technological Risks and National Security","Center for a New American Security",Longtermism,"$260,000","August 2017"
"Center for Effective Global Action at UC Berkeley — KLPS-4 Survey","Center for Effective Global Action at UC Berkeley","Global Health & Development","$1,104,259","April 2017"
"Yale University — Research on the Global Politics of AI","Yale University",Longtermism,"$299,320","July 2017"
"PICO National Network — Live Free Campaign","PICO National Network","Criminal Justice Reform","$1,394,250","August 2016"
"PICO Action Fund — Live Free Campaign","PICO Action Fund","Criminal Justice Reform","$816,188","August 2016"
"Citizens for Juvenile Justice — General Support (2016)","Citizens for Juvenile Justice","Criminal Justice Reform","$65,000","November 2016"
"Berkeley Existential Risk Initiative — Core Support and CHAI Collaboration","Berkeley Existential Risk Initiative",Longtermism,"$403,890","July 2017"
"JustLeadershipUSA — Campaign to Close Rikers (2016)",JustLeadershipUSA,"Criminal Justice Reform","$4,000,000","December 2016"
"Safety and Justice Action Fund — General Support","Safety and Justice Action Fund","Criminal Justice Reform","$300,000","October 2016"
"New Incentives — General Support (April 2017)","New Incentives","Global Health & Development","$820,000","April 2017"
"gui2de — Zusha! Road Safety Campaign (February 2017)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","$900,000","February 2017"
"Evidence Action — Strengthen Operations","Evidence Action","Global Health & Development","$2,642,300","April 2017"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing","Forward Justice","Criminal Justice Reform","$75,000","May 2017"
"Citizens for Juvenile Justice — General Support","Citizens for Juvenile Justice","Criminal Justice Reform","$50,000","October 2017"
"UCSF — Organ Regenerative Surgery (Tammy Chang)","University of California, San Francisco","Human Health and Wellbeing","$825,000","June 2017"
"Center for Applied Rationality — European Summer Program on Rationality","Center for Applied Rationality","Effective Altruism Community Growth","$340,000","May 2017"
"Future of Research — Exit Grant","Future of Research","Scientific Research","$150,000","July 2017"
"Stanford University — Percy Liang Planning Grant","Stanford University",Longtermism,"$25,000","March 2017"
"Stanford University — Support for Percy Liang","Stanford University",Longtermism,"$1,337,600","May 2017"
"University of Pennsylvania — Philip Tetlock’s “Making Conversations Smarter, Faster” Forecasting Project","University of Pennsylvania","Other Areas","$1,550,000","July 2017"
"The Ahimsa Collective — Restorative Justice Movement-Building Report","The Ahimsa Collective","Criminal Justice Reform","$15,000","July 2017"
"Animal Welfare Action Lab — Meat Reduction and Elimination Messaging Study","Animal Welfare Action Lab","Farm Animal Welfare","$79,100","June 2017"
"Greater Greater Washington — Housing and Land Use Reform (2017)","Greater Greater Washington","Land Use Reform","$250,000","June 2017"
"Duke University — Co-Crystallization of Hsp70i and Inhibitor HS-72 (Timothy Haystead)","Duke University","Scientific Research","$81,500","June 2017"
"University of Notre Dame — Nanopore Protein Sequencing (Gregory Timp)","University of Notre Dame","Scientific Innovation: Tools and Techniques","$2,054,142","June 2017"
"American Conservative Union Foundation — Center for Criminal Justice Reform (2017)","American Conservative Union Foundation","Criminal Justice Reform","$206,000","July 2017"
"Dignity and Power Now — Convening to Oppose L.A. Jail Construction","Dignity and Power Now","Criminal Justice Reform","$132,000","June 2017"
"We Got Us Now — General Support (2017)","We Got Us Now","Criminal Justice Reform","$100,000","September 2017"
"Protect the People — Exit Grant","Protect the People","Immigration Policy","$50,000","October 2016"
"North Carolina State University — DIYbio Labs Project","North Carolina State University","Biosecurity & Pandemic Preparedness","$252,725","May 2017"
"UCLA School of Law — AI Governance","UCLA School of Law",Longtermism,"$1,536,222","May 2017"
"Court Watch NOLA — General Support","Court Watch NOLA","Criminal Justice Reform","$25,000","April 2017"
"Humane Society International India — Animal Welfare Reform (2017)","Humane Society International India","Farm Animal Welfare","$1,100,000","May 2017"
"Federation of Indian Animal Protection Organisations — India Animal Welfare Reform","Federation of Indian Animal Protection Organisations","Broiler Chicken Welfare","$332,944","July 2017"
"Mercy For Animals — India Animal Welfare Reform","Mercy For Animals","Farm Animal Welfare","$500,000","May 2017"
"Animal Equality — India Animal Welfare Reform","Animal Equality","Farm Animal Welfare","$292,000","May 2017"
"People for Animals — India Animal Welfare Reform","People for Animals","Farm Animal Welfare","$120,000","May 2017"
"Eurogroup for Animals — Broiler Chicken Welfare Campaign","Eurogroup for Animals","Broiler Chicken Welfare","$14,961","May 2017"
"Compassion in World Farming USA — Latin America Broiler Chicken Welfare Research","Compassion in World Farming USA","Broiler Chicken Welfare","$30,000","May 2017"
"Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky)","Rockefeller University","Scientific Research","$1,600,000","April 2017"
"Distill Prize for Clarity in Machine Learning — General Support","Distill Prize for Clarity in Machine Learning",Longtermism,"$25,000","March 2017"
"Genspace — DIYbio Labs Project",Genspace,"Biosecurity & Pandemic Preparedness","$454,025","May 2017"
"Humane Slaughter Association — Farm Animal Welfare Advocacy in China","Humane Slaughter Association","Farm Animal Welfare","$419,236","June 2017"
"Evidence Action — Seasonal Income Support Project","Evidence Action","Global Health & Development","$170,792","March 2015"
"Evidence Action — No Lean Season","Evidence Action","Global Health & Development","$1,687,500","December 2016"
"New Incentives — Exit Grant and Immunizations Pilot","New Incentives","Global Health & Development","$368,587","November 2016"
"Future of Life Institute — General Support (2017)","Future of Life Institute",Longtermism,"$100,000","May 2017"
"The Greenfield Project — General Support","The Greenfield Project","Farm Animal Welfare","$500,000","April 2017"
"BioBricks Foundation — Biosecurity Activities at SB7.0","BioBricks Foundation","Biosecurity & Pandemic Preparedness","$152,950","April 2017"
"East Bay Forward — YIMBYtown 2017 Conference","East Bay Forward","Land Use Reform","$40,000","April 2017"
"College and Community Fellowship — General Support","College and Community Fellowship","Criminal Justice Reform","$50,000","March 2017"
"Vera Institute of Justice — Criminal Justice Reform Report","Vera Institute of Justice","Criminal Justice Reform","$50,000","March 2017"
"Common Justice — General Support","Common Justice","Criminal Justice Reform","$100,000","April 2017"
"Colorado State University — Planning Gift","Institute for Advancement of Animal Welfare Science","Broiler Chicken Welfare","$80,400","March 2017"
"International Society for Applied Ethology — Travel Scholarships","International Society for Applied Ethology","Farm Animal Welfare","$40,000","March 2017"
"World Animal Protection — Broiler Chicken Welfare (2017)","World Animal Protection","Broiler Chicken Welfare","$517,588","March 2017"
"American Civil Liberties Union Foundation — Disability Rights Fellowship","American Civil Liberties Union Foundation","Criminal Justice Reform","$45,000","April 2017"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2017)","Workers Center for Racial Justice","Criminal Justice Reform","$125,000","March 2017"
"Genspace — DIYbio and FBI Meeting",Genspace,"Biosecurity & Pandemic Preparedness","$15,000","February 2017"
"National Academies of Sciences, Engineering, and Medicine — International Meeting on Governance of Dual-Use Research","National Academies of Sciences, Engineering, and Medicine","Biosecurity & Pandemic Preparedness","$452,545","May 2017"
"New Partnership for Africa’s Development Planning and Coordinating Agency — General Support","New Partnership for Africa’s Development","Science for Global Health","$2,350,000","April 2017"
"Center for Global Development — Migration Program","Center for Global Development","Immigration Policy","$1,800,000","March 2017"
"Animal Charity Evaluators — General Support","Animal Charity Evaluators","Farm Animal Welfare","$500,000","April 2017"
"Centre for Effective Altruism — General Support (2017)","Centre for Effective Altruism","Effective Altruism Community Growth","$2,500,000","March 2017"
"American Civil Liberties Union Foundation of Oregon — Prosecutorial Accountability","American Civil Liberties Union Foundation of Oregon","Criminal Justice Reform","$145,000","March 2017"
"Color Of Change Education Fund — Criminal Justice Meeting","Color Of Change Education Fund","Criminal Justice Reform","$30,000","November 2016"
"The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2017)","The People's Lobby Education Institute","Criminal Justice Reform","$125,000","March 2017"
"Malaria Consortium — Seasonal Malaria Chemoprevention (February 2017)","Malaria Consortium","GiveWell-Recommended Charities","$5,000,000","February 2017"
"Deworm the World Initiative — General Support (January 2017)","Evidence Action","GiveWell-Recommended Charities","$4,470,000","January 2017"
"GiveDirectly — General Support (January 2017)",GiveDirectly,"GiveWell-Recommended Charities","$2,500,000","January 2017"
"Sightsavers — Deworming (January 2017)",Sightsavers,"GiveWell-Recommended Charities","$2,950,000","January 2017"
"Schistosomiasis Control Initiative — General Support (2017)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$13,500,000","January 2017"
"Against Malaria Foundation — General Support (January 2017)","Against Malaria Foundation","GiveWell-Recommended Charities","$15,080,000","January 2017"
"The END Fund — Deworming (December 2016)","The END Fund","GiveWell-Recommended Charities","$5,000,000","December 2016"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2017)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$250,000","January 2017"
"Project Healthy Children — General Support (January 2017)","Project Healthy Children","GiveWell-Recommended Charities","$250,000","January 2017"
"Living Goods — General Support (January 2017)","Living Goods","GiveWell-Recommended Charities","$250,000","January 2017"
"Iodine Global Network — General Support (December 2016)","Iodine Global Network","GiveWell-Recommended Charities","$250,000","December 2016"
"Food Fortification Initiative — General Support (December 2016)","Food Fortification Initiative","GiveWell-Recommended Charities","$250,000","December 2016"
"Development Media International — General Support (December 2016)","Development Media International","GiveWell-Recommended Charities","$250,000","December 2016"
"80,000 Hours — General Support","80,000 Hours","Effective Altruism Community Growth","$1,125,000","March 2017"
"Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2017)","Foundation for Food and Agriculture Research","Farm Animal Welfare","$1,000,000","April 2017"
"Rutgers University — Nuclear Conflict Climate Modeling","Rutgers University",Longtermism,"$2,982,206","March 2017"
"UCLA — Climate Engineering Governance","UCLA School of Law",Longtermism,"$776,095","March 2017"
"Humane Society International — East Asian and OIE Projects","Humane Society International","Cage-Free Reforms","$1,364,000","March 2017"
"Global Animal Partnership — General Support (2017)","Global Animal Partnership","Farm Animal Welfare","$200,000","February 2017"
"Jeanne Marchig Centre — Farm Animal Welfare Advocacy in East Asia (2017)","Jeanne Marchig International Centre for Animal Welfare Education","Farm Animal Welfare","$255,816","March 2017"
"Compassion in World Farming — Farm Animal Welfare Advocacy in China (2017)","Compassion in World Farming","Farm Animal Welfare","$765,112","February 2017"
"UC Berkeley — Plant Pathology Workshop (Brian Staskawicz)","UC Berkeley","Science for Global Health","$63,000","December 2016"
"Dyrevernalliansen — Fish Welfare","Dyrevernalliansen (The Norwegian Animal Protection Alliance)","Farm Animal Welfare","$378,000","February 2017"
"Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in China","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$453,440","February 2017"
"Griffith University — Farm Animal Welfare Advocacy in China (2016)","Griffith University","Farm Animal Welfare","$120,000","December 2016"
"Animal Welfare Standards Project — Farm Animal Welfare Advocacy in Asia","Animal Welfare Standards Project","Farm Animal Welfare","$238,212","December 2016"
"Albert Schweitzer Foundation — Fish Welfare","Albert Schweitzer Foundation","Farm Animal Welfare","$317,060","January 2017"
"Albert Schweitzer Foundation — International Cage-Free Advocacy","Albert Schweitzer Foundation","Cage-Free Reforms","$111,986","January 2017"
"Farm Forward — Chicken Welfare Advocacy (2017)","Farm Forward","Farm Animal Welfare","$100,000","January 2017"
"Georgetown Center for Global Health Science and Security — General Support (2017)","Georgetown Center for Global Health Science and Security","Biosecurity & Pandemic Preparedness","$3,500,000","March 2017"
"Smithsonian Institution — Outbreak Exhibit","Smithsonian Institution","Biosecurity & Pandemic Preparedness","$300,000","July 2017"
"J-PAL — Support for Immunization Incentives RCTs","Abdul Latif Jameel Poverty Action Lab","Global Health & Development","$200,000","September 2015"
"Evidence Action — Planning for Future Programs","Evidence Action","Global Health & Development","$250,000","March 2014"
"New Incentives — General Support (2014)","New Incentives","Global Health & Development","$100,000","January 2014"
"GiveWell — Top Charity “Participation” Grants (2014)",GiveWell,"GiveWell-Recommended Charities","$500,000","May 2014"
"GiveWell — Top Charity “Participation” Grants (2015)",GiveWell,"GiveWell-Recommended Charities","$500,000","January 2015"
"GiveWell — Top Charity “Participation” Grants (2016)",GiveWell,"GiveWell-Recommended Charities","$500,000","September 2016"
"IDinsight — Scaling Up a High-Potential Development Intervention",IDinsight,"Global Health & Development","$34,382","September 2014"
"New Incentives — General Support (2015)","New Incentives","Global Health & Development","$100,000","March 2015"
"Evidence Action — No Lean Season (March 2016)","Evidence Action","Global Health & Development","$812,351","March 2016"
"New Incentives — General Support (2016)","New Incentives","Global Health & Development","$300,000","March 2016"
"Innovations for Poverty Action — Mindset Engagement in Cash Transfers","Innovations for Poverty Action","Global Health & Development","$350,000","May 2016"
"Results for Development — Childhood Pneumonia Treatment Scale-Up","Results for Development","Global Health & Development","$6,400,000","May 2016"
"IDinsight — General Support",IDinsight,"Global Health & Development","$1,985,000","June 2016"
"IDinsight — Embedded GiveWell Team",IDinsight,"Global Health & Development","$314,752","November 2016"
"Charity Science: Health — General Support","Charity Science Health","Global Health & Development","$200,000","November 2016"
"American Civil Liberties Union of Northern California — Prosecutorial Accountability","American Civil Liberties Union Foundation of Northern California","Criminal Justice Reform","$250,000","February 2017"
"Drug Policy Alliance — Drug Decriminalization","Drug Policy Alliance","Criminal Justice Reform","$1,371,630","March 2017"
"Fair and Just Prosecution — General Support (2017)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","January 2017"
"National Alliance of Faith and Justice — Criminal Justice Reform","National Alliance of Faith and Justice","Criminal Justice Reform","$100,000","March 2017"
"Mission: Launch, Inc. — Lisa Sangoi on Child Welfare","Mission: Launch, Inc.","Criminal Justice Reform","$55,000","January 2017"
"Prison Policy Initiative — General Support (2017)","Prison Policy Initiative","Criminal Justice Reform","$66,000","February 2017"
"ReFrame Mentorship — General Support","ReFrame Mentorship","Criminal Justice Reform","$100,000","February 2017"
"National Network for Safe Communities — LA Larceny Project","National Network for Safe Communities","Criminal Justice Reform","$161,040","February 2017"
"Florida Rights Restoration Coalition — General Support","Florida Rights Restoration Coalition","Criminal Justice Reform","$130,000","February 2017"
"LatinoJustice — Work to End Mass Incarceration",LatinoJustice,"Criminal Justice Reform","$500,000","February 2017"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2017)","Justice Solutions","Criminal Justice Reform","$112,613","February 2017"
"Nuclear Threat Initiative — Planning Grant for Global Health Security Index","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$476,859","February 2017"
"Blue Ribbon Study Panel on Biodefense — General Support (2017)","Blue Ribbon Study Panel on Biodefense","Biosecurity & Pandemic Preparedness","$500,000","January 2017"
"ClimateWorks Foundation — Kigali Cooling Efficiency Program","ClimateWorks Foundation,Global Alliance for Improved Nutrition",Longtermism,"$3,000,000","March 2017"
"OpenAI — General Support",OpenAI,Longtermism,"$30,000,000","March 2017"
"Impossible Foods — R&D Investment","Impossible Foods","Alternatives to Animal Products",,"November 2016"
"Montreal Institute for Learning Algorithms — AI Safety Research","Montreal Institute for Learning Algorithms",Longtermism,"$2,400,000","July 2017"
"Harvard University — Solar Geoengineering Research Program","Harvard University",Longtermism,"$2,500,000","December 2016"
"Future of Humanity Institute — General Support","Future of Humanity Institute",Longtermism,"$1,995,425","March 2017"
"Future of Humanity Institute — Biosecurity and Pandemic Preparedness","Future of Humanity Institute","Biosecurity & Pandemic Preparedness","$115,652","September 2016"
"The Pollination Project — Global Animal Advocacy Movement (2016)","The Pollination Project","Farm Animal Welfare","$233,000","December 2016"
"Compassion Over Killing — U.S. Broiler Welfare Campaigns","Compassion Over Killing","Broiler Chicken Welfare","$500,000","December 2016"
"Eurogroup for Animals — Fish Welfare (2016)","Eurogroup for Animals","Farm Animal Welfare","$535,699","December 2016"
"CDC Foundation — Malaria Control Research (2016)","CDC Foundation","Science for Global Health","$1,214,437","September 2016"
"Target Malaria — Gene Drives for Malaria Control","Target Malaria","Science for Global Health","$17,500,000","May 2017"
"Ayni Institute — Movement Ecology and Metrics","Ayni Institute","Criminal Justice Reform","$250,000","December 2016"
"Colorado Criminal Justice Reform Coalition — Prosecutorial Reform (December 2016)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$75,000","December 2016"
"Mothers Against Police Brutality — Prosecutorial Reform","Mothers Against Police Brutality","Criminal Justice Reform","$50,000","December 2016"
"The Ordinary People Society — Prodigal Child Project","The Ordinary People Society","Criminal Justice Reform","$300,000","December 2016"
"Blackbird — Ending Mass Incarceration",Blackbird,"Criminal Justice Reform","$425,000","December 2016"
"LEAD National Support Bureau — General Support","LEAD National Support Bureau","Criminal Justice Reform","$200,000","December 2016"
"The Soze Agency — Returning Citizens Project","The Soze Agency","Criminal Justice Reform","$261,500","December 2016"
"Dream Corps — Criminal Justice and Criminalization","Dream Corps","Criminal Justice Reform","$500,000","December 2016"
"Civil Rights Corps — General Support (2016)","Civil Rights Corps","Criminal Justice Reform","$200,000","December 2016"
"Impact Justice — Restorative Justice Project","Impact Justice","Criminal Justice Reform","$2,050,000","December 2016"
"AI Impacts — General Support (2016)","AI Impacts",Longtermism,"$32,000","December 2016"
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2017)","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$16,000,000","January 2017"
"National Association of Community and Restorative Justice — Restorative Justice Conference","National Association of Community and Restorative Justice","Criminal Justice Reform","$50,000","November 2016"
"Alliance for Safety and Justice — General Support (2016)","Alliance for Safety and Justice","Criminal Justice Reform","$3,000,000","June 2016"
"Electronic Frontier Foundation — Artificial Intelligence Scenarios and Social Impacts","Electronic Frontier Foundation",Longtermism,"$199,000","November 2016"
"Mercy For Animals — Broiler Chicken Welfare Corporate Campaigns (2016)","Mercy For Animals","Broiler Chicken Welfare","$1,000,000","November 2016"
"Humane Society of the United States — Broiler Welfare Corporate Campaigns","Humane Society of the United States","Broiler Chicken Welfare","$1,000,000","November 2016"
"The Humane League — General Support (2016)","The Humane League","Farm Animal Welfare","$1,000,000","November 2016"
"Green Monday — Meat Reduction Pilot Project","Green Monday","Farm Animal Welfare","$226,000","November 2016"
"Justice Strategies — General Support (2016)","Justice Strategies","Criminal Justice Reform","$200,000","October 2016"
"Youth First Initiative — General Support","Youth First Initiative","Criminal Justice Reform","$250,000","October 2016"
"Essie Justice Group — General Support (2016)","Essie Justice Group","Criminal Justice Reform","$600,000","October 2016"
"Texas Fair Defense Project — General Support","Texas Fair Defense Project","Criminal Justice Reform","$63,000","October 2016"
"New Virginia Majority — Formerly Incarcerated Organizers","New Virginia Majority Education Fund","Criminal Justice Reform","$50,000","October 2016"
"Free Migration Project — Planning Grant","Free Migration Project","Immigration Policy","$24,000","May 2016"
"Fórum Nacional de Proteção e Defesa Animal — International Cage-Free Advocacy","Fórum Nacional de Proteção e Defesa Animal","Cage-Free Reforms","$100,000","October 2016"
"Blue Ribbon Study Panel on Biodefense — General Support (2016)","Blue Ribbon Study Panel on Biodefense","Biosecurity & Pandemic Preparedness","$1,300,000","August 2016"
"Center for International Security and Cooperation — Megan Palmer’s Biosecurity Research (2016)","Center for International Security and Cooperation","Biosecurity & Pandemic Preparedness","$643,415","October 2016"
"The Good Food Institute — General Support","The Good Food Institute","Alternatives to Animal Products","$1,000,000","September 2016"
"Founders Pledge — General Support","Founders Pledge","Effective Altruism Community Growth","$1,032,947","September 2016"
"Project Peanut Butter — Ready-to-Use Therapeutic Food RCT","Project Peanut Butter","Scientific Research","$724,929","September 2016"
"WildAid — Reducing Meat Consumption in China (2016)",WildAid,"Farm Animal Welfare","$700,000","September 2016"
"World Animal Protection — Farm Animal Welfare Advocacy in East Asia","World Animal Protection","Farm Animal Welfare","$544,607","October 2016"
"Brighter Green — Farm Animal Welfare Advocacy in East Asia","Brighter Green","Farm Animal Welfare","$99,360","September 2016"
"ASUC — Effective Altruists of Berkeley “DeCal” University Course","Associated Students of the University of California, Berkeley","Effective Altruism Community Growth","$10,000","February 2015"
"Florida Rights Restoration Coalition — General Support","Florida Rights Restoration Coalition","Criminal Justice Reform","$48,000","August 2016"
"Faith in Texas — General Support","Faith in Texas","Criminal Justice Reform","$637,000","September 2016"
"People for Animals — International Cage-Free Advocacy","People for Animals","Cage-Free Reforms","$89,392","August 2016"
"Mercy For Animals — International Cage-Free Advocacy","Mercy For Animals","Cage-Free Reforms","$1,000,000","August 2016"
"Humane Society International — International Cage-Free Outreach","Humane Society International","Cage-Free Reforms","$1,000,000","August 2016"
"The Humane League — International Cage-Free Advocacy","The Humane League","Cage-Free Reforms","$1,000,000","July 2016"
"Center on Budget and Policy Priorities — Full Employment Project (2016)","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$425,000","July 2016"
"Roosevelt Institute — Macroeconomic Policy Research","Roosevelt Institute","Macroeconomic Stabilization Policy","$200,000","June 2016"
"Economic Policy Institute — Macroeconomic Policy Research (2016)","Economic Policy Institute","Macroeconomic Stabilization Policy","$500,000","June 2016"
"Brooklyn Community Bail Fund — General Support","Brooklyn Community Bail Fund","Criminal Justice Reform","$404,800","September 2016"
"Johns Hopkins Center for Health Security — Emerging Leaders in Biosecurity Initiative","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$2,744,000","October 2016"
"Animal Equality — International Cage-Free Advocacy","Animal Equality","Cage-Free Reforms","$500,000","August 2016"
"University of Cape Town — Geomagnetics Research","University of Cape Town",Longtermism,"$493,425","September 2016"
"Mijente — Criminal Justice Reform (2016)",Mijente,"Criminal Justice Reform","$255,000","August 2016"
"ReFrame Mentorship — General Support","ReFrame Mentorship","Criminal Justice Reform","$37,000","July 2016"
"Center for Court Innovation — New Thinking about Criminal Justice Responses","Center for Court Innovation","Criminal Justice Reform","$160,000","July 2016"
"Vera Institute of Justice — New Orleans User-Funded Justice System","Vera Institute of Justice","Criminal Justice Reform","$100,000","July 2016"
